DBUID,DBRPLAMX,DBRPLAMY,PRUID,PRNAME,CDUID,CDNAME,CDTYPE,CCSUID,CCSNAME,CSDUID,CSDNAME,CSDTYPE,ERUID,ERNAME,FEDUID,FEDNAME,SACCODE,SACTYPE,CMAUID,CMAPUID,CMANAME,CMATYPE,CTUID,CTNAME,ADAUID,DAUID
"35370263003",6952635.33253001,729180.41228000,"35",Ontario,"3537",Essex,CTY,"3537039",Windsor,"3537039",Windsor,CY,"3570",Windsor--Sarnia,"35116",Windsor--Tecumseh,"559","1","559","35559",Windsor,B,"5590040.00","0040.00","35370011","35370263"
"35370741004",6944488.29938500,704338.55258501,"35",Ontario,"3537",Essex,CTY,"3537028",Amherstburg,"3537028",Amherstburg,T,"3570",Windsor--Sarnia,"35026",Essex,"559","1","559","35559",Windsor,B,"5590170.01","0170.01","35370044","35370741"
"35370774008",6978541.57306001,697875.06729000,"35",Ontario,"3537",Essex,CTY,"3537013",Kingsville,"3537013",Kingsville,T,"3570",Windsor--Sarnia,"35026",Essex,"557","3","557","35557",Leamington,D,,,"35370048","35370774"
"35370553004",6957152.66244000,731893.76963500,"35",Ontario,"3537",Essex,CTY,"3537039",Windsor,"3537039",Windsor,CY,"3570",Windsor--Sarnia,"35116",Windsor--Tecumseh,"559","1","559","35559",Windsor,B,"5590043.02","0043.02","35370006","35370553"
"35370555008",6996363.73714001,733339.56466500,"35",Ontario,"3537",Essex,CTY,"3537064",Lakeshore,"3537064",Lakeshore,T,"3570",Windsor--Sarnia,"35017",Chatham-Kent--Leamington,"559","1","559","35559",Windsor,B,"5590171.00","0171.00","35370001","35370555"
"35370740009",6945175.53598001,703198.72277001,"35",Ontario,"3537",Essex,CTY,"3537028",Amherstburg,"3537028",Amherstburg,T,"3570",Windsor--Sarnia,"35026",Essex,"559","1","559","35559",Windsor,B,"5590173.00","0173.00","35370043","35370740"
